probe_rate,p-one_path-c0.01,p-two_path-c0.01,c-empty-one_path-c0.01,c-empty-two_path-c0.01,c-path-one_path-c0.01,c-path-two_path-c0.01,i-empty-one_path-c0.01,i-empty-two_path-c0.01,i-path-one_path-c0.01,i-path-two_path-c0.01,b-one_path-c0.01,b-two_path-c0.01,p-one_path-c0.02,p-two_path-c0.02,c-empty-one_path-c0.02,c-empty-two_path-c0.02,c-path-one_path-c0.02,c-path-two_path-c0.02,i-empty-one_path-c0.02,i-empty-two_path-c0.02,i-path-one_path-c0.02,i-path-two_path-c0.02,b-one_path-c0.02,b-two_path-c0.02,p-one_path-c0.05,p-two_path-c0.05,c-empty-one_path-c0.05,c-empty-two_path-c0.05,c-path-one_path-c0.05,c-path-two_path-c0.05,i-empty-one_path-c0.05,i-empty-two_path-c0.05,i-path-one_path-c0.05,i-path-two_path-c0.05,b-one_path-c0.05,b-two_path-c0.05,p-one_path-c0.1,p-two_path-c0.1,c-empty-one_path-c0.1,c-empty-two_path-c0.1,c-path-one_path-c0.1,c-path-two_path-c0.1,i-empty-one_path-c0.1,i-empty-two_path-c0.1,i-path-one_path-c0.1,i-path-two_path-c0.1,b-one_path-c0.1,b-two_path-c0.1,p-one_path-c0.2,p-two_path-c0.2,c-empty-one_path-c0.2,c-empty-two_path-c0.2,c-path-one_path-c0.2,c-path-two_path-c0.2,i-empty-one_path-c0.2,i-empty-two_path-c0.2,i-path-one_path-c0.2,i-path-two_path-c0.2,b-one_path-c0.2,b-two_path-c0.2,p-one_path-c0.5,p-two_path-c0.5,c-empty-one_path-c0.5,c-empty-two_path-c0.5,c-path-one_path-c0.5,c-path-two_path-c0.5,i-empty-one_path-c0.5,i-empty-two_path-c0.5,i-path-one_path-c0.5,i-path-two_path-c0.5,b-one_path-c0.5,b-two_path-c0.5,p-one_path-c1,p-two_path-c1,c-empty-one_path-c1,c-empty-two_path-c1,c-path-one_path-c1,c-path-two_path-c1,i-empty-one_path-c1,i-empty-two_path-c1,i-path-one_path-c1,i-path-two_path-c1,b-one_path-c1,b-two_path-c1,p-one_path-c5,p-two_path-c5,c-empty-one_path-c5,c-empty-two_path-c5,c-path-one_path-c5,c-path-two_path-c5,i-empty-one_path-c5,i-empty-two_path-c5,i-path-one_path-c5,i-path-two_path-c5,b-one_path-c5,b-two_path-c5
1,0.4662668665667166,0.24512743628185907,227,227,395,100,620,707,65,273,5.804633473449786,13.384408691833354,0.4662668665667166,0.24512743628185907,227,227,395,100,620,707,65,273,5.804633473449786,13.384408691833354,0.4512743628185907,0.23238380809595202,227,227,375,83,564,632,141,365,5.9676849755129835,13.61036196667066,0.3980509745127436,0.22338830584707647,227,225,304,73,568,613,208,396,6.546517807837329,13.769858395967582,0.3823088455772114,0.23163418290854573,227,226,283,83,530,609,267,389,6.717721885003685,13.623653335778735,0.29910044977511246,0.17916041979010494,227,175,172,64,536,536,372,532,7.622657721454425,14.554049173344115,0.2653673163418291,0.12668665667166418,226,108,128,61,399,683,554,455,7.989523601096616,15.48444501090949,0.14392803598200898,0.14167916041979012,148,189,44,0,151,410,964,708,9.310240767808507,15.218617628747953
2,0.49400299850074963,0.36731634182908546,228,227,431,263,617,664,31,153,5.502988194632873,11.217915527216833,0.49400299850074963,0.36731634182908546,228,227,431,263,617,664,31,153,5.502988194632873,11.217915527216833,0.4917541229385307,0.34707646176911544,227,227,429,236,573,584,78,260,5.527445919942354,11.576782493134907,0.47301349325337333,0.3193403298350825,227,227,404,199,564,570,112,311,5.731260297521348,12.068563150133748,0.4580209895052474,0.27811094452773616,227,227,384,144,550,603,146,333,5.894311799584544,12.799588451077975,0.4077961019490255,0.2353823088455772,227,226,317,88,552,655,211,338,6.440534331496252,13.557196490238352,0.3800599700149925,0.1866566716641679,227,210,280,39,453,613,347,445,6.7421796103131655,14.421135482263345,0.18515742128935533,0.16266866566716642,159,217,88,0,165,673,895,417,8.861849137134717,14.846459293721804
4,0.5179910044977512,0.44377811094452774,229,228,462,364,616,636,0,79,5.242105791331759,9.862195878192997,0.5179910044977512,0.44377811094452774,229,228,462,364,616,636,0,79,5.242105791331759,9.862195878192997,0.5209895052473763,0.43553223388305845,229,229,466,352,577,591,35,135,5.20949549091912,10.008400938381842,0.5179910044977512,0.4332833583208396,228,228,463,350,569,554,47,175,5.242105791331759,10.048275045706074,0.4970014992503748,0.39430284857571213,228,227,435,299,559,585,85,196,5.470377894220234,10.739426239326068,0.4782608695652174,0.32608695652173914,227,227,411,208,552,575,117,297,5.674192271799229,11.948940828161058,0.49775112443778113,0.2653673163418291,222,227,442,127,452,598,191,355,5.462225319117074,13.02554172591528,0.3853073463268366,0.14992503748125938,191,183,323,17,191,632,602,475,6.685111584591046,15.072412568559109
8,0.5179910044977512,0.4835082458770615,229,229,462,416,616,626,0,36,5.242105791331759,9.157753315464927,0.5179910044977512,0.4835082458770615,229,229,462,416,616,626,0,36,5.242105791331759,9.157753315464927,0.5442278860569715,0.5104947526236882,229,228,497,453,574,571,7,55,4.956765662721167,8.679264027574161,0.5502248875562219,0.5314842578710645,229,229,505,480,573,528,0,70,4.891545061895887,8.30710569254801,0.532983508245877,0.5014992503748126,229,227,482,442,561,547,35,91,5.079054289268564,8.838760456871084,0.532983508245877,0.4662668665667166,228,227,483,395,545,556,51,129,5.079054289268564,9.463454804950693,0.5592203898050975,0.4077961019490255,227,227,519,317,450,569,111,194,4.793714160657969,10.500181595380685,0.5809595202398801,0.2376311844077961,212,222,563,95,148,638,384,352,4.557289482666335,13.517322382914122
16,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.547976011994003,0.5389805097451275,229,229,502,490,576,564,0,24,4.916002787205366,8.174192001467242,0.5502248875562219,0.5809595202398801,229,229,505,546,573,506,0,26,4.891545061895887,7.42987533141494,0.5562218890554723,0.5622188905547226,229,229,513,521,560,520,5,37,4.826324461070609,7.762159559116861,0.5697151424287856,0.5637181409295352,229,229,531,523,547,500,0,55,4.6795781092137325,7.735576820900707,0.6101949025487257,0.5412293853073463,228,227,586,495,441,500,52,85,4.239339053643103,8.134317894143011,0.691904047976012,0.39655172413793105,214,224,709,305,165,595,219,183,3.3507083673986826,10.699552132001836
32,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.547976011994003,0.5652173913043478,229,229,502,525,576,553,0,0,4.916002787205366,7.708994082684554,0.5502248875562219,0.6086956521739131,229,229,505,583,573,495,0,0,4.891545061895887,6.938094674416098,0.5584707646176912,0.5944527736131934,229,229,516,564,562,502,0,12,4.801866735761129,7.190630687469558,0.5697151424287856,0.6169415292353823,229,229,531,594,547,451,0,33,4.6795781092137325,6.791889614227254,0.6356821589205397,0.6079460269865068,228,229,620,582,443,460,16,36,3.9621515001356693,6.951386043524174,0.7848575712143928,0.547976011994003,221,225,826,506,151,484,109,92,2.3397890546068663,8.01469557217032
64,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.547976011994003,0.5652173913043478,229,229,502,525,576,553,0,0,4.916002787205366,7.708994082684554,0.5502248875562219,0.6086956521739131,229,229,505,583,573,495,0,0,4.891545061895887,6.938094674416098,0.5584707646176912,0.6086956521739131,229,229,516,583,562,495,0,0,4.801866735761129,6.938094674416098,0.5697151424287856,0.6544227886056971,229,229,531,644,547,434,0,0,4.6795781092137325,6.127321158823412,0.6484257871064468,0.6551724137931034,229,229,636,645,442,417,0,16,3.8235577233819518,6.114029789715336,0.8403298350824587,0.6626686656671664,227,228,894,656,151,383,35,40,1.7364984969730406,5.981116098634567
128,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.5179910044977512,0.5119940029985007,229,229,462,454,616,624,0,0,5.242105791331759,8.652681289358007,0.547976011994003,0.5652173913043478,229,229,502,525,576,553,0,0,4.916002787205366,7.708994082684554,0.5502248875562219,0.6086956521739131,229,229,505,583,573,495,0,0,4.891545061895887,6.938094674416098,0.5584707646176912,0.610944527736132,229,229,516,586,562,492,0,0,4.801866735761129,6.898220567091867,0.5697151424287856,0.6544227886056971,229,229,531,644,547,434,0,0,4.6795781092137325,6.127321158823412,0.6484257871064468,0.6799100449775113,229,229,636,678,442,398,0,2,3.8235577233819518,5.6754146091488,0.8643178410794603,0.7361319340329835,229,229,924,753,154,311,0,14,1.4756160936719258,4.67856192604304
