n,p-one_path-c0.5-basic,p-two_path-c0.5-basic,c-one_path-c0.5-basic,c-two_path-c0.5-basic,p-one_path-c0.5-e,p-two_path-c0.5-e,c-one_path-c0.5-e,c-two_path-c0.5-e,p-one_path-c0.5-v,p-two_path-c0.5-v,c-one_path-c0.5-v,c-two_path-c0.5-v,p-one_path-c0.5-ev,p-two_path-c0.5-ev,c-one_path-c0.5-ev,c-two_path-c0.5-ev
100,0.980751100880704,0.9597797953451044,0.4130748355348004,0.8733706471320325,0.9560313250600477,0.8716257022471912,0.9435528264209737,2.7876124566124947,0.619115792634107,0.40183687800963097,1.7748846100070421,2.820514038209213,0.6086093875100078,0.3801785714285715,1.8238434704707658,2.9226392871754987
300,0.9943912695234279,0.9921965434083599,0.23200998467799358,0.41043587968054907,0.986004205046055,0.9740424035369775,0.5789481570534856,1.3652832963929158,0.7651942330796958,0.3384425241157556,1.7028951527606857,6.100464824693546,0.7711063275931116,0.3570870176848875,1.6600185351136587,5.928537091520115
1000,0.9981196153075528,0.9985344480257855,0.15628423771681424,0.21216037844792418,0.9985293528351026,0.99852840451249,0.12222976077159184,0.21303526660643513,0.907573632538569,0.7140320306204673,1.1120579342613928,5.99298933284877,0.916249248647566,0.7463990733279612,1.0076744342537576,5.314677904814568
3000,0.9995918572001601,0.9997289644012938,0.06325436917824466,0.10155751522126458,0.9994955876454067,0.9998038025889967,0.07817431866500452,0.0735155147495472,0.9625250701965503,0.9133090614886733,0.7254102588874515,4.057176585780758,0.9760649819494582,0.9509941343042073,0.4633152812182462,2.293497501366983
10000,1.0000000000000027,0.9999683931484498,-8.08647617872438e-13,0.034316703046507455,1.0000000000000027,0.9999847063621529,-8.08647617872438e-13,0.01660485631309449,0.9938946945337628,0.9923980424143554,0.20117293766558195,0.8961363255242163,0.9968659565916417,0.9970320146818921,0.10326833320912815,0.3498729672211827
