n,p-one_path-c0.1,p-two_path-c0.1,c-one_path-c0.1,c-two_path-c0.1,p-one_path-c0.2,p-two_path-c0.2,c-one_path-c0.2,c-two_path-c0.2,p-one_path-c0.5,p-two_path-c0.5,c-one_path-c0.5,c-two_path-c0.5,p-one_path-c1,p-two_path-c1,c-one_path-c1,c-two_path-c1,p-one_path-c2,p-two_path-c2,c-one_path-c2,c-two_path-c2
100,0.9920028011204493,0.9710091145833329,0.1716171710099514,0.6295290780973979,0.9861892135281176,0.9654360465116285,0.29637478564996117,0.7505467136380195,0.980751100880704,0.9597797953451044,0.4130748355348004,0.8733706471320325,0.975565565565565,0.952035140562249,0.5243546616789218,1.0415436889540177,0.9654541357901065,0.9271962992759454,0.7413425094323648,1.5809122743296349
300,0.9972583550130079,0.9932197273456299,0.11341051492517226,0.3566198054272104,0.9963380704563651,0.9928190208667741,0.15147888115848226,0.3776956343514175,0.9943912695234279,0.9921965434083599,0.23200998467799358,0.41043587968054907,0.9924819711538458,0.9908886876006446,0.31098976224491215,0.47922474813020743,0.9896572459410706,0.9881083535108962,0.4278369625290064,0.6254610800083449
1000,0.9991393114491595,0.9985002006420547,0.0715343273214177,0.21711819503922916,0.9988886663996794,0.9983621382636655,0.09236616596210497,0.23710477140351907,0.9980064115407736,0.9985646655922643,0.1656929318360616,0.20778593765516062,0.9971626228193303,0.9983882376717866,0.23582266521162384,0.23332649509420034,0.9961812525090328,0.9986353490259743,0.31738720436087575,0.1975534625810888
3000,0.9997786901662327,0.9996510458567978,0.03429881387932283,0.13075373079754318,0.9997475455820464,0.9996937953263502,0.03912563191162774,0.11473542941760095,0.9995918572001601,0.9997289644012938,0.06325436917824466,0.10155751522126458,0.9993564257028127,0.9997266260162586,0.09974177225197274,0.10243371220400464,0.9989300080450519,0.9997452945990193,0.16582839673413938,0.09543856143072402
10000,0.9999298456604527,1.0000000000000004,0.021290819614624385,-4.821637332766435e-13,0.9999197592778336,0.9999898785425101,0.02435188973934769,0.010989232841714424,1.0000000000000004,0.9999999999999997,-1.3477460297873968e-13,3.616227999574826e-13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
