n,p-one_path-c0.5-basic,p-two_path-c0.5-basic,c-one_path-c0.5-basic,c-two_path-c0.5-basic,p-one_path-c0.5-e,p-two_path-c0.5-e,c-one_path-c0.5-e,c-two_path-c0.5-e,p-one_path-c0.5-v,p-two_path-c0.5-v,c-one_path-c0.5-v,c-two_path-c0.5-v,p-one_path-c0.5-ev,p-two_path-c0.5-ev,c-one_path-c0.5-ev,c-two_path-c0.5-ev
100,0.9534612690152116,0.8612304373996786,0.9987053559997537,3.013342764672372,0.9534612690152116,0.8612304373996786,0.9987053559997537,3.013342764672372,0.6241162930344277,0.4217922351524881,1.7515827480993433,2.726418693829535,0.613556845476381,0.39951996388442995,1.8007887813202204,2.8314389658338213
300,0.9786203444132963,0.9563193327974275,0.8843879351684479,2.2974579095535375,0.9786203444132963,0.9563193327974275,0.8843879351684479,2.2974579095535375,0.7890698838606329,0.408367162379421,1.529740419309593,5.455664015003126,0.7980146175410496,0.4369975884244373,1.4648700209931547,5.191652325360951
1000,0.9903656581847327,0.9888336019339243,0.8007381535012925,1.6165016876106018,0.9903656581847327,0.9888336019339243,0.8007381535012925,1.6165016876106018,0.9832448407132843,0.9700191377921034,0.20159515446045148,0.628304588766972,0.9853897014626327,0.9755257856567287,0.17578856398513018,0.5129025667011546
3000,0.9954582831929402,0.9958565938511326,0.7038797002653994,1.5525415666433604,0.9954582831929402,0.9958565938511326,0.7038797002653994,1.5525415666433604,0.9946780986762944,0.9948968446601939,0.1030171860828238,0.23883006360068643,0.9941596470116326,0.9957928802588997,0.1130529662231865,0.19689517728474112
10000,0.9973884646302268,0.9990966557911907,0.7925629238885478,0.9807935128628785,0.9973884646302268,0.9990966557911907,0.7925629238885478,0.9807935128628785,0.9980285369774937,0.9982351141924958,0.06496071489459622,0.20804881699067762,0.9983390273311913,0.9987846655791189,0.054729898940245346,0.14326642972437786
